Country,ISO3C,Species,Datasources,Datasource: farm locations,Datasource: number of farms,Details,Data year,Number of total farms,"Known farms, location","Known farms, no location",Estimated Farms
Australia,AUS,Salmonids,"Australian Government National Map 2019;

Tasmanian Government Department of Primary Industries, Parks, Water and Environment 2019","Australian Government National Map 2019;

Tasmanian Government Department of Primary Industries, Parks, Water and Environment 2019",NA,"Data limited to Tasmania, which accounted for >98% production in 2015-2016, https://data.gov.au/dataset/ds-dga-c12a0597-b535-48b3-a602-1f8382d8dae6/details. Map provides exact locations of salmon aquaculture farms.",2019,50,50,0,0
Canada,CAN,Salmonids,"British Columbia Saltwater Finfish Tenures -  of Forests, Lands, Natural Resource Operations and Rural Development 2019; 
New Brunswick NB Agriculture, Aquaculture and Fisheries 2019; 
Nova Scotia Nova Scotia Fisheries and Aquaculture 2020; 
Newfoundland and Labrador Newfoundland Labrador Fisheries, Forestry and Agriculture 2015 ","British Columbia Saltwater Finfish Tenures -  of Forests, Lands, Natural Resource Operations and Rural Development 2019; 
New Brunswick NB Agriculture, Aquaculture and Fisheries 2019; 
Nova Scotia Nova Scotia Fisheries and Aquaculture 2020; 
Newfoundland and Labrador Newfoundland Labrador Fisheries, Forestry and Agriculture 2015 ",NA,Maps provide exact locations of commercial salmon leases.,"2015, 2019, 2020",345,345,0,0
Chile,CHL,Salmonids,Undersecretariat for Fisheries and Aquaculture 2020 ,Undersecretariat for Fisheries and Aquaculture 2020 ,NA,Governmental lease data used to identify commercial salmon farms (may include inactive sites).,2020,1830,1830,0,0
Denmark,DNK,Salmonids,HELCOM HOLAS II Dataset: Finfish mariculture 2017,HELCOM HOLAS II Dataset: Finfish mariculture 2017,NA,Governmental lease data used to identify commercial salmon farms (may include inactive sites).,2017,22,22,0,0
Faroe Islands,FRO,Salmonids,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,Map provides points for ASC certified farms (may include inactive farms). ,2021,20,20,0,0
Finland,FIN,Salmonids,HELCOM Map and Data Service,HELCOM Map and Data Service,NA,Governmental lease data used to identify commercial salmon farms (may include inactive sites).,,268,268,0,0
Iceland,ISL,Salmonids,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 11 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 6 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,17,11,0,6
Ireland,IRL,Salmonids,"Ireland Department of Agriculture, Food and the Marine 2019","Ireland Department of Agriculture, Food and the Marine 2019",NA,Used salmon aquaculture licenses as a proxy for farm locations. ,2019,95,95,0,0
Japan,JPN,Salmonids,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 4 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 13 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,17,4,0,13
New Zealand,NZL,Salmonids,"Aquaculture Stewardship Council Data Mapping Study; 
National Aquaculture Sector Overview, FAO Fisheries Division. New Zealand, 2005",Aquaculture Stewardship Council Data Mapping Study,"National Aquaculture Sector Overview, FAO Fisheries Division. New Zealand, 2005","Map provides points for 1 ASC certified farm (may include inactive farms). This data is not comprehensive. Because of this 22 more farms were added based on FAO documentation, and placed using our suitability layer.","2021, 2004",23,22,1,0
Norway,NOR,Salmonids,Fiskeridirektoratet 2019 ,Fiskeridirektoratet 2019 ,NA,Governmental license data used to identify commercial salmon farms (may include inactive sites).,2019,920,920,0,0
Russian Federation,RUS,Salmonids,NA,NA,NA,"There was no available information on the number of farms or locations of farms in Russia. We estimated a number of farms based on a global tonnes per farm, and placed 14 salmon farms along the Russian coast using our suitability layer.",NA,14,0,0,14
Sweden,SWE,Salmonids,HELCOM HOLAS II Dataset: Finfish mariculture 2017,HELCOM HOLAS II Dataset: Finfish mariculture 2017,NA,Governmental lease data used to identify commercial salmon farms (may include inactive sites).,2017,22,22,0,0
Turkey,TUR,Salmonids,"National Aquaculture Sector Overview, FAO Fisheries Division. Turkey, 2005",NA,"National Aquaculture Sector Overview, FAO Fisheries Division. Turkey, 2005","21 farms were allocated based on FAO documentation, and placed using our suitability layer.",2009,21,0,21,0
United Kingdom (Scotland) ,GBR,Salmonids,Scotland’s aquaculture 2020 ,Scotland’s aquaculture 2020 ,NA,"Scotland appears to be the only salmon aquaculture in UK, see: emodnet.eu/geoviewer/#!/. Because of this, we used governmental lease data used to identify commercial salmon farms (may include inactive sites).",2020,119,119,0,0
United States of America,USA,Salmonids,"Puget Sound: Our Sound, Our Salmon 2017; 

Northeast: Northeast Regional Ocean Council 2018
","Puget Sound: Our Sound, Our Salmon 2017; 

Northeast: Northeast Regional Ocean Council 2018
",NA,"Northeast data used salmon aquaculture licenses as a proxy for farm locations. Puget Sound location data estimated from image. Although this is not comprehensive, our gapfilling method suggested that no more farms needed to be added based on production per farm.","2017, 2018",30,30,0,0
Australia,AUS,Shrimp,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 2 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 11 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,13,2,0,11
Bangladesh,BGD,Shrimp,Aquaculture Stewardship Council Data Mapping Study,Aquaculture Stewardship Council Data Mapping Study,NA,"Map provides points for 2 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 241 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,243,2,0,241
Belize,BLZ,Shrimp,"Aquaculture Stewardship Council Data Mapping Study; 

National Aquaculture Sector Overview, FAO Fisheries Division. Belize, 2005",Aquaculture Stewardship Council Data Mapping Study,"National Aquaculture Sector Overview, FAO Fisheries Division. Belize, 2005","Map provides points for 3 ASC certified farms (may include inactive farms). The ASC data is not comprehensive. The FAO documents the remaining 9 licensed and operating shrimp farms in Belize, and the locations were estimated using Google maps.",2021,12,12,0,0
Brazil,BRA,Shrimp,NA,NA,NA,"There was no available information on the number of farms or locations of farms in Brazil. We estimated a number of farms based on a global tonnes per farm, and placed 179 shrimp farms along the Brazilian coast using our suitability layer.",NA,179,0,0,179
Brunei,BRN,Shrimp,Golden Corporation Sendirian Berhad Shrimp Farm and Processing Map,Golden Corporation Sendirian Berhad Shrimp Farm and Processing Map,NA,"Points are represented in the Golden Corps. Shrimp farm map. However, these points are not comprehensive, and only represent one company in Brunei. Although this is not comprehensive, our gapfilling method suggested that no more farms needed to be added based on production per farm.",2020,6,6,0,0
Cambodia,KHM,Shrimp,NA,NA,NA,"There was no available information on the number of farms or locations of farms in Cambodia. We estimated a number of farms based on a global tonnes per farm, and placed 3 shrimp farms along the Cambodian coast using our suitability layer.",NA,3,0,0,3
China,CHN,Shrimp,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 4 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 3993 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,3997,4,0,3993
Colombia,COL,Shrimp,"Aquaculture Stewardship Council Data Mapping Study; 
National Aquaculture Sector Overview, FAO Fisheries Division. Colombia, 2005",Aquaculture Stewardship Council Data Mapping Study ,"National Aquaculture Sector Overview, FAO Fisheries Division. Colombia, 2005","Map provides points for 1 ASC certified farm (may include inactive farms). This data is not comprehensive. Because of this 19 more farms were added based on FAO documentation, and placed using our suitability layer.","2021, 2002",20,1,19,0
Costa Rica,CRI,Shrimp,"National Aquaculture Sector Overview, FAO Fisheries Division. Costa Rica, 2005",NA,"National Aquaculture Sector Overview, FAO Fisheries Division. Costa Rica, 2005","90 farms were allocated based on FAO documentation, and placed using our suitability layer.",2004,90,0,90,0
Cuba,CUB,Shrimp,"National Aquaculture Sector Overview, FAO Fisheries Division. Cuba, 2005; 
Van Der Heijden, P., 2020","National Aquaculture Sector Overview, FAO Fisheries Division. Cuba, 2005;","Van Der Heijden, P., 2020","FAO report indicates 2 locations for shrimp farming in Cuba. However, Van Der Heijden 2020 states that there are 5 total shrimp farms in Cuba. Because of this 3 more farms were added and placed using our suitability layer.","2005, 2020",5,2,3,0
Ecuador,ECU,Shrimp,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 75 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 1233 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,1308,75,0,1233
El Salvador ,SLV,Shrimp,"National Aquaculture Sector Overview, FAO Fisheries Division. El Salvador, 2005",NA,"National Aquaculture Sector Overview, FAO Fisheries Division. El Salvador, 2005","39 farms were allocated based on FAO documentation, and placed using our suitability layer.",2005,39,0,39,0
Guatemala,GTM,Shrimp,"Aquaculture Stewardship Council Data Mapping Study; 
National Aquaculture Sector Overview, FAO Fisheries Division. Guatemala, 2005",Aquaculture Stewardship Council Data Mapping Study,"National Aquaculture Sector Overview, FAO Fisheries Division. Guatemala, 2005","Map provides points for 3 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 19 more farms were added based on FAO documentation, and placed using our suitability layer.","2021, 2004",22,3,19,0
Honduras,HND,Shrimp,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 20 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 74 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,94,20,0,74
India,IND,Shrimp,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 104 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 1807 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,1911,104,0,1807
Indonesia,IDN,Shrimp,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 5 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 2651 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,2656,5,0,2651
Iran,IRN,Shrimp,"NASO aquaculture maps collection, FAO 2010;

Sadek et al., 2002","NASO aquaculture maps collection, FAO 2010;","Sadek et al., 2002","Map provides 14 points for a subset of total shrimp farms in Iran (may include inactive farms). This data is not comprehensive. Because of this 191 more farms were added based on Sadek et al. 2002, and placed using our suitability layer.","2010, 2002",205,14,191,0
Japan ,JPN,Shrimp,NA,NA,NA,"There was no available information on the number of farms or locations of farms in Japan. We estimated a number of farms based on a global tonnes per farm, and placed 5 shrimp farms along the Japanese coast using our suitability layer.",NA,5,0,0,5
Madagascar,MDG,Shrimp,"Aquaculture Stewardship Council Data Mapping Study; 
National Aquaculture Sector Overview, FAO Fisheries Division. Madagascar, 2005",Aquaculture Stewardship Council Data Mapping Study ,"National Aquaculture Sector Overview, FAO Fisheries Division. Madagascar, 2005","Map provides points for 2 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 4 more farms were added based on FAO documentation, and placed using our suitability layer.",2005,6,2,4,0
Malaysia,MYS,Shrimp,Department of Fisheries Malaysia 2014,Department of Fisheries Malaysia 2014,NA,"Map provides 11 points for industrial shrimp farming in Malaysia. This data is not comprehensive. Because of this 126 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2014,137,11,0,126
Mexico,MEX,Shrimp,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 11 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 435 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,446,11,0,435
Myanmar,MMR,Shrimp,NA,NA,NA,"There was no available information on the number of farms or locations of farms in Myanmar. We estimated a number of farms based on a global tonnes per farm, and placed 165 shrimp farms along the Burmese coast using our suitability layer.",NA,165,0,0,165
New Caledonia,NCL,Shrimp,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 2 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 3 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,5,2,0,3
Nicaragua,NIC,Shrimp,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 2 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 72 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,74,2,0,72
Panama,PAN,Shrimp,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 1 ASC certified farm (may include inactive farms). This data is not comprehensive. Because of this 22 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,23,1,0,22
Peru,PER,Shrimp,"Aquaculture Stewardship Council Data Mapping Study 
Herwijnen, J. van, 2018. Shrimp in Peru.",Aquaculture Stewardship Council Data Mapping Study ,"Herwijnen, J. van, 2018. Shrimp in Peru.",Map provides points for 1 ASC certified farm (may include inactive farms). This data is not comprehensive. Because of this 71 more farms were added based on Seafood Tip documentation and placed using our suitability layer.,"2021, 2018",72,1,71,0
Philippines,PHL,Shrimp,"Vergel, 2017",NA,"Vergel, 2017","271 farms were allocated based on Vergel 2017, and placed using our suitability layer.",2017,271,0,271,0
Republic of Korea,KOR,Shrimp,NA,NA,NA,"There was no available information on the number of farms or locations of farms in South Korea. We estimated a number of farms based on a global tonnes per farm, and placed 16 shrimp farms along the Korean coast using our suitability layer.",NA,16,0,0,16
Saudi Arabia,SAU,Shrimp,"National Aquaculture Group;
Saudi Fish Company ","National Aquaculture Group;
Saudi Fish Company ",NA,"The 2 farm locations that are mapped are the Saudi Fish Company and the National Aquaculture Group. However, these points are not comprehensive, and only represent two companies in Saudi Arabia. Because of this 115 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2020,117,2,0,115
Sri Lanka,LKA,Shrimp,"National Aquaculture Sector Overview. Sri Lanka, 2004",NA,"National Aquaculture Sector Overview. Sri Lanka, 2004","130 farms were allocated based on FAO documentation, and placed using our suitability layer.",2002,130,0,130,0
Taiwan,TWN,Shrimp,NA,NA,NA,"There was no available information on the number of farms or locations of farms in Taiwan. We estimated a number of farms based on a global tonnes per farm, and placed 15 shrimp farms along the coast using our suitability layer.",NA,15,0,0,15
Thailand,THA,Shrimp,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 18 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 1050 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,1068,18,0,1050
United States of America ,USA,Shrimp,"Monterey Bay Aquarium Seafood Watch Report on Whiteleg Shrimp Farming in the United States, 2014;
Texas: Texas Aquaculture Locations;
Alabama: Shrimp companies found on Google maps;
Hawaii: Shrimp companies found on Google maps;
Florida: Shrimp companies found on Google maps 
","Monterey Bay Aquarium Seafood Watch Report on Whiteleg Shrimp Farming in the United States, 2014;
Texas: Texas Aquaculture Locations;
Alabama: Shrimp companies found on Google maps;
Hawaii: Shrimp companies found on Google maps;
Florida: Shrimp companies found on Google maps 
",NA,"Placed points according to locations on google maps, and locations provided in map of Texas aquaculture. The number of farms placed matches the number given in the Seafood Watch report.","2018, 2020",10,10,0,0
Venezuela,VEN,Shrimp,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 11 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 62 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,73,11,0,62
Viet Nam,VNM,Shrimp,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 173 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 1932 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,2105,173,0,1932
Australia,AUS,Unfed or algae fed shellfish,"Aquaculture Species, 2021;

Aquaculture Stewardship Council Data Mapping Study; 

Oysters South Australia, 2021
","Aquaculture Stewardship Council Data Mapping Study; Oysters South Australia, 2021","Aquaculture Species, 2021","Map provides points for 1 ASC certified farms and 23 farms from Oysters South Australia (may include inactive farms). This data is not comprehensive. Because of this 45 more farms were added based on OceanWatch Australia and Oysters South Australia documentation, and placed using our suitability layer. This included 20 abalone farms, and 25 mussel farms.",2021,69,24,45,0
Brazil,BRA,Unfed or algae fed shellfish,"Suplicy et al., 2017",NA,"Suplicy et al., 2017","27 farms were allocated based on Suplicy et al. 2017, and placed using our suitability layer.",2017,27,0,27,0
Bulgaria,BGR,Unfed or algae fed shellfish,EMODnet Human Activities: Shellfish aquaculture 2019,EMODnet Human Activities: Shellfish aquaculture 2019,NA,Maps provide exact locations of bivalve farms.,2019,44,44,0,0
Cambodia,KHM,Unfed or algae fed shellfish,NA,NA,NA,"There was no available information on the number of farms or locations of farms in Cambodia. We estimated a number of farms based on a global tonnes per farm, and placed 30 shellfish farms along the coast using our suitability layer.",NA,30,0,0,30
Chile,CHL,Unfed or algae fed shellfish,Undersecretariat for Fisheries and Aquaculture 2020 ,Undersecretariat for Fisheries and Aquaculture 2020 ,NA,Governmental lease data used to identify commercial shellfish farms (may include inactive sites).,2020,1870,1870,0,0
China,CHN,Unfed or algae fed shellfish,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 11 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 51679 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,51679,11,0,51668
Canada,CAN,Unfed or algae fed shellfish,"British Columbia: Shellfish Hatcheries - Coastal Resource Information Management System (CRIMS), Ministry of Forests, Lands, Natural Resource Operations and Rural Development 2019;

Nova Scotia: Shellfish Hatcheries - Coastal Resource Information Management System (CRIMS), Ministry of Forests, Lands, Natural Resource Operations and Rural Development 2019","British Columbia: Shellfish Hatcheries - Coastal Resource Information Management System (CRIMS), Ministry of Forests, Lands, Natural Resource Operations and Rural Development 2019;

Nova Scotia: Shellfish Hatcheries - Coastal Resource Information Management System (CRIMS), Ministry of Forests, Lands, Natural Resource Operations and Rural Development 2019",NA,Maps provide exact locations of bivalve farms.,2019,175,175,0,0
Croatia,HRV,Unfed or algae fed shellfish,"Lukin, 2014",NA,"Lukin, 2014","266 farms were allocated based on Lukin 2014, and placed using our suitability layer.",2014,266,0,266,0
Cuba,CUB,Unfed or algae fed shellfish,"Mazon Suastegui et al., 2017","Mazon Suastegui et al., 2017",NA,"4 points were placed based on information provided in Mazon Suastegui et al. 2017. Although this is not comprehensive, our gapfilling method suggested that no more farms needed to be added based on production per farm.",2017,4,0,4,0
Denmark,DNK,Unfed or algae fed shellfish,"HELCOM HOLAS II Dataset: Shellfish mariculture, 2017","HELCOM HOLAS II Dataset: Shellfish mariculture, 2017",NA,Maps provide exact locations of bivalve farms.,2017,42,42,0,0
France,FRA,Unfed or algae fed shellfish,EMODnet Human Activities: Shellfish aquaculture 2019,EMODnet Human Activities: Shellfish aquaculture 2019,NA,Maps provide exact locations of bivalve farms.,2019,245,245,0,0
French Polynesia,PYF,Unfed or algae fed shellfish,"The aquaculture sectors in French Polynesia, Department of Marine Resources Pu Fa'Ahotu Moana 2019","The aquaculture sectors in French Polynesia, Department of Marine Resources Pu Fa'Ahotu Moana 2019",NA,Placed 2 farms in the lagoons indicated in the report.,2019,2,2,0,0
Germany,DEU,Unfed or algae fed shellfish,"HELCOM HOLAS II Dataset: Shellfish mariculture, 2017;
Avdelas et al., 2021","HELCOM HOLAS II Dataset: Shellfish mariculture, 2017;
Avdelas et al., 2021",NA,"Map provides points for 1 farm (may include inactive farms). This data is not comprehensive. Because of this 10 more farms were added based on Avdelas et al. 2021, and placed using our suitability layer.","2017, 2021",11,1,10,0
Greece,GRC,Unfed or algae fed shellfish,EMODnet Human Activities: Shellfish aquaculture 2019,EMODnet Human Activities: Shellfish aquaculture 2019,NA,Maps provide exact locations of commercial bivalve farms.,2019,174,174,0,0
Guernsey,GGY,Unfed or algae fed shellfish,"Fishing and Aquaculture, Government of the States of Guernsey 2020",NA,"Fishing and Aquaculture, Government of the States of Guernsey 2020","7 farms were allocated based on governmental lease data, and placed using our suitability layer.",2020,7,0,7,0
Hong Kong ,HKG,Unfed or algae fed shellfish,"“Marine fish culture, pond fish culture and oyster culture,” Agriculture, Fisheries, and Conservation Department; The Government of the Hong Kong Special Administrative Region, 2020","“Marine fish culture, pond fish culture and oyster culture,” Agriculture, Fisheries, and Conservation Department; The Government of the Hong Kong Special Administrative Region, 2020",NA,Placed 1 farm in the area indicated in the map provided by the government of Hong Kong. ,2020,1,1,0,0
India,IND,Unfed or algae fed shellfish,"National Aquaculture Sector Overview. India, 2005",NA,"National Aquaculture Sector Overview. India, 2005","250 farms were allocated based on FAO documentation, and placed using our suitability layer.",2002,250,0,250,0
Indonesia,IDN,Unfed or algae fed shellfish,"Network of Aquaculture Centres in Asia: Status of oyster culture in selected Asian countries, 1988","Network of Aquaculture Centres in Asia: Status of oyster culture in selected Asian countries, 1988",NA,"Map from the report provides points for 9 farms (may include inactive farms). This data is not comprehensive. Because of this 211 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",1988,220,9,0,211
Ireland,IRL,Unfed or algae fed shellfish,EMODnet Human Activities: Shellfish aquaculture 2019,EMODnet Human Activities: Shellfish aquaculture 2019,NA,Maps provide exact locations of bivalve farms.,2019,913,913,0,0
